Lab_ID,Species_Name,Collection_Location,Date_Collected,Collector_ID,Muscimol_mg_per_g,Ibotenic_Acid_mg_per_g,Psilocybin_mg_per_g,Psilocin_mg_per_g,Muscarine_mg_per_g,Amatoxin_mg_per_g,Phalloidin_mg_per_g,Additional_Alkaloids,pH_Level,Moisture_Content_Percent,Spore_Viability_Percent,Risk_Classification,Notes,Analysis_Status,QC_Verified_By,Report_Generated
PWN001,Amanita_muscaria,Tea_Party_Grove,2024-09-15,Dr_Hatter,2.34,5.67,0.00,0.00,0.12,0.00,0.00,Betalains_detected,6.2,78.5,95.2,HIGH_PSYCHOACTIVE,Red_cap_white_spots_classic_presentation,COMPLETE,Dr_Caterpillar,2024-09-16
PWN002,Psilocybe_cyanescens,Queen_Rose_Garden,2024-09-16,March_Hare,0.00,0.00,11.23,2.45,0.00,0.00,0.00,Baeocystin_present,7.1,82.3,89.7,MODERATE_HALLUCINOGENIC,Blue_bruising_confirmed_wavy_cap_margins,COMPLETE,Dr_Morel,2024-09-17
PWN003,Psilocybe_cubensis,Duchess_Pasture_South,2024-09-18,White_Rabbit,0.00,0.00,8.76,1.89,0.00,0.00,0.00,Norbaeocystin_trace,6.8,79.1,92.4,MODERATE_HALLUCINOGENIC,Golden_teacher_variety_cow_dung_substrate,COMPLETE,Dr_Sporington,2024-09-19
PWN004,Inocybe_violacea,Cheshire_Forest_Edge,2024-09-20,Dinah_Cat,0.00,0.00,0.00,0.00,45.73,0.00,0.00,Muscardine_alkaloid,5.9,65.4,88.1,EXTREME_MUSCARINIC,Purple_fibrous_cap_deadly_muscarine_levels,COMPLETE,Dr_Hearts,2024-09-21
PWN005,Amanita_bisporigera,Jabberwocky_Grove,2024-09-22,Tweedledum,0.00,0.00,0.00,0.00,0.00,89.34,12.67,Alpha_amanitin_beta_amanitin,6.5,71.2,96.8,FATAL_AMATOXIN,Pure_white_destroying_angel_lethal_dose,COMPLETE,Dr_Absolem,2024-09-23
PWN006,Agaricus_campestris,Public_Commons_Field,2024-09-24,Dormouse,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None_detected,7.3,68.9,91.3,SAFE_EDIBLE,Common_meadow_mushroom_no_toxins,COMPLETE,Dr_Gryphon,2024-09-25
PWN007,Pleurotus_ostreatus,Caucus_Race_Track,2024-09-26,Mock_Turtle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Lovastatin_natural,7.0,73.6,87.9,SAFE_EDIBLE,Oyster_mushroom_good_for_consumption,COMPLETE,Dr_Dodo,2024-09-27
PWN008,Unknown_Amanita_species,Croquet_Ground_North,2024-09-28,Card_Guard_Seven,0.00,0.00,0.00,0.00,0.00,92.15,15.23,Virotoxins_detected,6.3,76.8,94.5,LETHAL_CONFIRMED,White_specimen_unknown_variant_highly_toxic,COMPLETE,Dr_Executioner,2024-09-29
PWN009,Laboratory_Control_Sample,PWN_Lab_Standard,2024-09-30,Lab_Technician,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,7.0,0.0,0.0,BASELINE_CONTROL,Negative_control_for_calibration,COMPLETE,Dr_Method,2024-09-30
PWN010,Damaged_Field_Specimen,Tulgey_Wood_Deep,2024-10-01,Bandersnatch,CORRUPTED,CORRUPTED,CORRUPTED,CORRUPTED,CORRUPTED,CORRUPTED,CORRUPTED,Unknown_degraded,NULL,NULL,NULL,ANALYSIS_FAILED,Sample_destroyed_by_weather_exposure,FAILED,NULL,NULL
PWN011,Boletus_edulis,Wonderland_Woods_East,2024-10-02,Bill_Lizard,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Ergosterol_high,6.9,71.4,90.2,SAFE_EDIBLE,King_bolete_premium_edible_species,COMPLETE,Dr_Mycelia,2024-10-03
PWN012,Cantharellus_cibarius,Mad_Hatters_Path,2024-10-04,Cheshire_Cat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Beta_carotene_rich,7.2,69.8,88.6,SAFE_EDIBLE,Golden_chanterelle_false_gills_confirmed,COMPLETE,Dr_Grin,2024-10-05
